Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 MenuCheck,Chrome 120.0.0.0,Check functionality of the menu in desktop view for all pages,,2023-12-18 12:36:01,2023-12-18 12:39:41,"3m - 39,683s",ERROR
,,,,,,,
Test Cases/Menu/RT001 MenuClicks - Homepage,Chrome 120.0.0.0,,,2023-12-18 12:36:01,2023-12-18 12:36:22,"21,140s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-18 12:36:01,2023-12-18 12:36:03,"1,309s",PASSED
maximizeWindow(),Chrome 120.0.0.0,,,2023-12-18 12:36:03,2023-12-18 12:36:03,"0,150s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:36:03,2023-12-18 12:36:04,"1,115s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:04,2023-12-18 12:36:04,"0,520s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SoftwareTesting""))",Chrome 120.0.0.0,,,2023-12-18 12:36:04,2023-12-18 12:36:05,"0,469s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Software Testing - RisQIT/h1_Software Testing""), ""Software Testing"")",Chrome 120.0.0.0,,,2023-12-18 12:36:05,2023-12-18 12:36:05,"0,652s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:36:05,2023-12-18 12:36:06,"0,108s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:06,2023-12-18 12:36:06,"0,726s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_SHT""))",Chrome 120.0.0.0,,,2023-12-18 12:36:06,2023-12-18 12:36:07,"0,435s",PASSED
"verifyElementText(findTestObject(""Page_Security en HackersTest (SHT) - RisQIT/h1_Security en HackersTest (SHT)""), ""Security En HackersTest (SHT)"")",Chrome 120.0.0.0,,,2023-12-18 12:36:07,2023-12-18 12:36:07,"0,601s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:36:07,2023-12-18 12:36:08,"0,178s",PASSED
"mouseOver(findTestObject(""MenuTopbar/btn_Menu_Diensten""))",Chrome 120.0.0.0,,,2023-12-18 12:36:08,2023-12-18 12:36:08,"0,690s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_Diensten_UXLab""))",Chrome 120.0.0.0,,,2023-12-18 12:36:08,2023-12-18 12:36:09,"0,577s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_UX Lab - RisQIT/h1_UX Lab""), ""UX Lab"")",Chrome 120.0.0.0,,,2023-12-18 12:36:09,2023-12-18 12:36:09,"0,454s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:36:09,2023-12-18 12:36:09,"0,132s",PASSED
"click(findTestObject(""MenuTopbar/btn_Menu_OverOns""))",Chrome 120.0.0.0,,,2023-12-18 12:36:09,2023-12-18 12:36:10,"0,805s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Over ons - RisQIT/h1_Over ons""), ""Over Ons"")",Chrome 120.0.0.0,,,2023-12-18 12:36:10,2023-12-18 12:36:11,"0,454s",PASSED
navigateToUrl(URL),Chrome 120.0.0.0,,,2023-12-18 12:36:11,2023-12-18 12:36:11,"0,137s",PASSED
