Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDTS01 With MS Excel,Chrome 120.0.0.0,,,2023-12-19 11:19:20,2023-12-19 11:19:46,"26,195s",PASSED
,,,,,,,
Test Cases/Forms/RT014 ContactForm,Chrome 120.0.0.0,,,2023-12-19 11:19:20,2023-12-19 11:19:33,"13,631s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-19 11:19:20,2023-12-19 11:19:21,"1,282s",PASSED
"navigateToUrl(""https://nlrisqitww-chaca.savviihq.com/"")",Chrome 120.0.0.0,,,2023-12-19 11:19:21,2023-12-19 11:19:22,"0,306s",PASSED
"click(findTestObject(""Object Repository/Page_Home - RisQIT/div_Contact opnemen""))",Chrome 120.0.0.0,,,2023-12-19 11:19:22,2023-12-19 11:19:22,"0,508s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Contact - RisQIT/h1_Contact""), ""Contact"")",Chrome 120.0.0.0,,,2023-12-19 11:19:22,2023-12-19 11:19:23,"0,596s",PASSED
"click(findTestObject(""Object Repository/Page_Contact - RisQIT/input_naam""), STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2023-12-19 11:19:23,2023-12-19 11:19:23,"0,316s",PASSED
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_naam""), Naam)",Chrome 120.0.0.0,,,2023-12-19 11:19:23,2023-12-19 11:19:24,"1,103s",PASSED
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_adres""), Adres)",Chrome 120.0.0.0,,,2023-12-19 11:19:24,2023-12-19 11:19:25,"0,596s",PASSED
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_woonplaats""), Woonplaats)",Chrome 120.0.0.0,,,2023-12-19 11:19:25,2023-12-19 11:19:26,"0,813s",PASSED
"setText(findTestObject(""Object Repository/Page_Contact - RisQIT/input_e-mail""), Email)",Chrome 120.0.0.0,,,2023-12-19 11:19:26,2023-12-19 11:19:26,"0,814s",PASSED
